Title,Year,Artist,Zone A,Zone B,Zone C,Zone D,Total,youtube_id,youtube_views,youtube_date,view per day
《E先生 愛人執照》,2023,呂爵安,117,96,96,120,429,GG7n0NY9jic,4505488.0,2023-07-18,8359.0
《Money》,2023,盧瀚霆,314,692,785,211,2002,yGNiuyaIiK0,13966338.0,2023-02-22,20389.0
《再見 寧靜海》,2023,陳卓賢,206,180,253,291,930,mfjMLJEWQ8w,13449785.0,2023-01-18,18680.0
《濤》,2023,姜濤,915,1926,1517,697,5055,,,,
《隱形遊樂場》,2023,張敬軒,571,478,419,783,2251,,,,
《Hey Hey OK!》,2024,盧瀚霆,671,837,523,344,2375,jclkxUayxp8,6536666.0,2024-07-17,37567.0
《以孤獨命名》,2024,陳卓賢,314,205,232,264,1015,TnCUUWXCL-M,3594637.0,2024-07-02,19019.0
《好得太過份》,2024,姜濤,844,1779,1444,740,4807,DaQNnnU1DA4,6596151.0,2024-04-30,26175.0
《黑玻璃》,2024,洪嘉豪,361,221,234,458,1274,Rp4iHpTvBY8,9653669.0,2024-01-04,26162.0
《普渡眾生》,2024,林家謙,319,205,181,385,1090,OGMc0ZX1risUzWWe,,,
《會再見的》,2024,馮允謙,0,0,0,0,0,SRG29U7Fw_o,870722.0,2024-09-23,8214.0
《間歇性休眠》,2024,陳凱詠,0,0,0,0,0,WGxCQyLDylI,139477.0,2024-06-20,694.0
《九秒九》,2024,容祖兒,0,0,0,0,0,-faG6EV5G4A,1232849.0,2024-04-29,4873.0
《回憶半分鐘》,2024,雲浩影,0,0,0,0,0,oSeRj1sW3To,1686247.0,2024-01-18,4750.0
《至少做一件離譜的事》,2024,Kiri T,0,0,0,0,0,RPoNXvSFHE4,5594575.0,2024-03-18,18965.0
《藝術與科學》,2024,林奕匡,0,0,0,0,0,cGfljVaZhCk,1046410.0,2024-03-20,3571.0
《戀愛腦之死》,2024,陳健安,0,0,0,0,0,QHoCenGReRY,420854.0,2024-05-10,1739.0
《小心碰頭》,2024,張天賦,0,0,0,0,0,7P76AY8DtqY,3029996.0,2024-08-20,21643.0
